Champion,Role,Win Percent,Play Percent,Ban Rate,Kills,Deaths,Assists,Largest Killing Spree,Damage Dealt,Damage Taken,Total Healing,Minions Killed,Gold Earned
Lissandra,Middle,0.4972375690607735,0.011480522226333315,0.0006681114223796184,5.94475138121547,5.924861878453038,8.651933701657459,7,19749,20326,2965,172.98232044198895,11276
Corki,Middle,0.49445676274944567,0.011442465246577514,0.00024314181510650667,7.329268292682927,6.058758314855876,6.370288248337029,8,23432,20570,2832,183.19068736141907,12384
Aphelios,Support,0.49498327759197325,0.011379036946984512,0.03194460595168878,3.1661092530657746,3.3656633221850614,3.061315496098105,4,7649,7863,1090,107.53288740245262,6554
Poppy,Top,0.47474747474747475,0.01130292298747291,0.0008245678947090227,4.5331088664422,5.273849607182941,7.420875420875421,5,17791,25087,3939,153.13468013468014,10371
Malphite,Support,0.5159453302961275,0.011138009408531106,0.004205296263016016,3.288154897494305,4.80751708428246,6.603644646924829,8,11129,13195,1000,65.26423690205011,7295
Ryze,Middle,0.4678362573099415,0.010846239230403298,0.00047782652360061316,5.570760233918128,5.6456140350877195,6.367251461988304,6,20604,23392,6664,188.6514619883041,11771
Pantheon,Middle,0.4813477737665463,0.010541783392356889,0.007046884084782494,7.566787003610108,6.043321299638989,7.4596871239470515,10,18057,22528,4423,141.47292418772562,11082
Maokai,Support,0.4927710843373494,0.010529097732438288,0.0009112532374861251,2.2674698795180723,4.873493975903615,8.546987951807228,4,10860,17716,4735,55.77951807228916,7029
Sylas,Top,0.49687108886107634,0.010135842274961678,0.010865267720281199,6.21026282853567,6.485607008760951,6.5306633291614515,7,19588,30727,9711,146.23153942428036,10703
Ivern,Jungle,0.5081761006289308,0.010085099635287276,0.00038691262751731063,2.3308176100628932,4.236477987421384,11.954716981132075,4,7573,12690,6012,15.40251572327044,8850
Singed,Top,0.5286624203821656,0.009958243036101273,0.0004207410539669116,4.4815286624203825,6.215286624203822,7.996178343949045,5,19591,28805,4904,178.1732484076433,11088
Kennen,Top,0.49607329842931935,0.009691844177810665,0.0005391405465405148,5.221204188481676,5.325916230366492,6.5013089005235605,6,18726,20129,3945,169.42539267015707,10952
Shen,Support,0.500697350069735,0.009095618161636449,0.00109096675299963,2.5606694560669454,3.8828451882845187,7.235704323570432,3,7136,14116,1279,68.11994421199442,6705
